16	36	0.009
16	37	n/a
16	38	0.057
16	39	n/a
16	40	n/a
16	45	0.051
16	52	0.115
16	65	n/a
16	70	0.103
16	71	n/a
16	72	0.119
16	73	0.209
16	76	0.093
16	77	0.15
17	18	n/a
17	19	n/a
17	21	0.044
17	23	0.016
17	24	0.161
17	26	0.069
17	27	0.055
17	28	0.096
17	29	0.132
17	30	0.118
17	33	n/a
17	34	n/a
17	36	0.115
17	37	n/a
17	38	0.087
17	39	n/a
17	51	n/a
17	52	0.122
17	72	0.09
17	75	n/a
17	76	0.126
18	19	n/a
18	23	n/a
18	26	n/a
18	27	n/a
18	34	n/a
18	36	n/a
18	37	n/a
18	38	n/a
18	75	n/a
18	76	n/a
19	23	n/a
19	26	n/a
19	27	n/a
19	29	n/a
19	30	n/a
19	34	n/a
19	36	n/a
19	37	n/a
19	38	n/a
19	39	n/a
19	51	n/a
19	75	n/a
19	76	n/a
20	24	n/a
20	28	n/a
20	29	n/a
20	34	n/a
20	36	n/a
20	38	n/a
20	40	n/a
20	53	n/a
20	58	n/a
20	61	n/a
20	73	n/a
20	77	n/a
21	22	n/a
21	23	0.118
21	24	0.004
21	26	0.083
21	27	0.063
21	28	0.072
21	29	0.082
21	30	0.071
21	33	n/a
21	34	n/a
21	35	n/a
21	36	0.087
21	37	n/a
21	38	0.101
21	39	n/a
21	40	n/a
21	43	0.097
21	45	0.079
21	65	n/a
21	70	0.079
21	71	n/a
21	72	0.082
21	73	0.102
21	76	0.02
21	77	0.104
21	78	0.161
21	79	0.018
21	84	n/a
22	23	n/a
22	24	n/a
22	25	n/a
22	27	n/a
22	28	n/a
22	36	n/a
22	37	n/a
22	38	n/a
22	43	n/a
22	52	n/a
22	65	n/a
22	70	n/a
22	71	n/a
22	72	n/a
22	73	n/a
22	75	n/a
22	76	n/a
22	77	n/a
23	24	0.011
23	26	0.001
23	27	0.025
23	28	0.063
23	29	0.179
23	30	0.165
23	33	n/a
23	34	n/a
23	35	n/a
23	36	0.034
23	37	n/a
23	38	0.022
23	39	n/a
23	40	n/a
23	43	0.087
23	45	0.1
23	46	n/a
23	52	0.105
23	65	n/a
23	70	0.134
23	71	n/a
23	72	0.126
23	73	0.065
23	76	0.178
23	77	0.065
23	79	0.048
23	84	n/a
24	25	n/a
24	26	0.066
24	27	0.059
24	28	0.085
24	29	0.07
24	30	0.052
24	33	n/a
24	34	n/a
24	36	0.045
24	37	n/a
24	38	0.041
24	39	n/a
24	40	n/a
24	43	0.024
24	45	0.049
24	47	n/a
24	51	n/a
24	52	0.064
24	53	n/a
24	55	n/a
24	56	0.126
24	58	n/a
24	59	n/a
24	61	n/a
24	63	0.057
24	65	n/a
24	70	0.09
24	71	n/a
24	72	0.013
24	73	0.084
24	76	0.096
24	77	0.167
24	78	0.081
24	79	0.114
24	83	n/a
25	26	n/a
25	27	n/a
25	31	n/a
25	37	n/a
25	38	n/a
25	45	n/a
25	51	n/a
25	62	n/a
25	74	n/a
25	75	n/a
25	76	n/a
26	27	0.038
26	28	0.134
26	29	0.163
26	30	0.082
26	31	n/a
26	34	n/a
26	36	0.049
26	37	n/a
26	38	0.003
26	39	n/a
26	43	0.023
26	44	n/a
26	45	0.002
26	46	n/a
26	51	n/a
26	52	0.141
26	60	n/a
26	62	n/a
26	66	0.138
26	67	n/a
26	68	0.152
26	72	0.047
26	73	0.022
26	74	n/a
26	75	n/a
26	76	0.134
26	80	n/a
26	83	n/a
26	84	n/a
27	28	0.003
27	29	0.111
27	30	0.124
27	31	n/a
27	34	n/a
27	35	n/a
27	36	0.112
27	37	n/a
27	38	0.104
27	39	n/a
27	40	n/a
27	43	0.077
27	44	n/a
27	45	0.05
27	46	n/a
27	51	n/a
27	52	0.14
27	56	0.06
27	58	n/a
27	60	n/a
27	62	n/a
27	65	n/a
27	66	0.058
27	67	n/a
27	68	0.157
27	70	0.124
27	71	n/a
27	72	0.225
27	73	0.039
27	74	n/a
27	75	n/a
27	76	0.151
27	77	0.078
27	79	0.21
27	80	n/a
27	83	n/a
27	84	n/a
28	29	0.149
28	30	0.061
28	33	n/a
28	34	n/a
28	35	n/a
28	36	0.158
28	37	n/a
28	38	0.169
28	39	n/a
28	40	n/a
28	41	n/a
28	43	0.074
28	45	0.104
28	47	n/a
28	52	0.164
28	53	n/a
28	55	n/a
28	56	0.187
28	57	n/a
28	58	n/a
28	59	n/a
28	61	n/a
28	63	0.138
28	65	n/a
28	69	n/a
28	70	0.086
28	71	n/a
28	72	0.056
28	73	0.173
28	76	0.003
28	77	0.183
28	78	0.12
28	79	0.036
28	83	n/a
28	84	n/a
29	30	0.053
29	32	n/a
29	33	n/a
29	34	n/a
29	36	0.08
29	37	n/a
29	38	0.014
29	40	n/a
29	43	0.076
29	73	0.131
29	77	0.104
30	33	n/a
30	34	n/a
30	36	0.088
